رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
42,2024-09-02,قيد يدوي رقم 42 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5880.18,,
42,2024-09-02,قيد يدوي رقم 42 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,5880.18,
43,2024-09-03,قيد يدوي رقم 43 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,4280.0,,
43,2024-09-03,قيد يدوي رقم 43 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,4280.0,
63,2024-09-04,قيد يدوي رقم 63 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,15000.0,,
63,2024-09-04,قيد يدوي رقم 63 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,15000.0,
31,2024-09-05,قيد يدوي رقم 31 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5000.0,,
31,2024-09-05,قيد يدوي رقم 31 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,5000.0,
38,2024-09-07,قيد يدوي رقم 38 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1161.5,,
38,2024-09-07,قيد يدوي رقم 38 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1161.5,
24,2024-09-12,قيد يدوي رقم 24 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,10500.0,,
24,2024-09-12,قيد يدوي رقم 24 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,10500.0,
29,2024-09-12,قيد يدوي رقم 29 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,2000.0,,
29,2024-09-12,قيد يدوي رقم 29 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,2000.0,
30,2024-09-12,قيد يدوي رقم 30 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,15000.0,,
30,2024-09-12,قيد يدوي رقم 30 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,15000.0,
59,2024-09-18,قيد يدوي رقم 59 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,287.5,,
59,2024-09-18,قيد يدوي رقم 59 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,287.5,
93,2024-09-18,قيد يدوي رقم 93 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1957.0,,
93,2024-09-18,قيد يدوي رقم 93 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1957.0,
17,2024-09-21,قيد يدوي رقم 17 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,150000.0,,
17,2024-09-21,قيد يدوي رقم 17 - أنشئ بواسطة محاسب ارمي,3201,جاري الشريك بدر القرني,,150000.0,
60,2024-09-21,قيد يدوي رقم 60 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,667.0,,
60,2024-09-21,قيد يدوي رقم 60 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,667.0,
61,2024-09-23,قيد يدوي رقم 61 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,691.61,,
61,2024-09-23,قيد يدوي رقم 61 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,691.61,
32,2024-09-24,قيد يدوي رقم 32 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1900.0,,
32,2024-09-24,قيد يدوي رقم 32 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,1900.0,
32,2024-09-24,قيد يدوي رقم 32 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,750.0,,
32,2024-09-24,قيد يدوي رقم 32 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,750.0,
